event_ts,symbol,price,qty,side,trade_id,ingest_ts,_source_file
2026-06-27T10:00:45.245Z,BTCUSDT,60999.8,0.003027,sell,BTCUSDT-1000001,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:36.401Z,BTCUSDT,61011.38,0.010192,sell,BTCUSDT-1000002,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:16.804Z,BTCUSDT,61024.35,0.04423,buy,BTCUSDT-1000003,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:52.200Z,BTCUSDT,61010.44,0.013698,buy,BTCUSDT-1000004,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:47.048Z,BTCUSDT,61032.69,0.008158,buy,BTCUSDT-1000005,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:00.552Z,BTCUSDT,61049.04,0.014837,buy,BTCUSDT-1000006,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:25.344Z,BTCUSDT,61045.45,0.001517,sell,BTCUSDT-1000007,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:34.947Z,BTCUSDT,61039.3,0.02524,buy,BTCUSDT-1000008,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:41.652Z,BTCUSDT,61046.91,0.023341,buy,BTCUSDT-1000009,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:00.164Z,BTCUSDT,61049.24,0.004031,sell,BTCUSDT-1000010,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:47.140Z,BTCUSDT,61069.2,0.0406,sell,BTCUSDT-1000011,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:22.253Z,BTCUSDT,61067.94,0.04092,sell,BTCUSDT-1000012,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:24.952Z,BTCUSDT,61087.31,0.008158,buy,BTCUSDT-1000013,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:17.566Z,BTCUSDT,61070.2,0.026564,buy,BTCUSDT-1000014,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:54.648Z,BTCUSDT,61052.84,0.016707,sell,BTCUSDT-1000015,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:19.849Z,BTCUSDT,61056.4,0.04972,sell,BTCUSDT-1000016,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:00.230Z,BTCUSDT,61079.06,0.044996,buy,BTCUSDT-1000017,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:19.645Z,ETHUSDT,3400.04,0.113795,sell,ETHUSDT-1000001,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:58.745Z,ETHUSDT,3400.0,0.16157,buy,ETHUSDT-1000002,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:46.786Z,ETHUSDT,3398.35,0.010708,buy,ETHUSDT-1000003,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:09.336Z,ETHUSDT,3396.68,0.047135,sell,ETHUSDT-1000004,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:40.950Z,ETHUSDT,3396.0,0.013583,sell,ETHUSDT-1000005,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:42.471Z,ETHUSDT,3395.44,0.339297,sell,ETHUSDT-1000006,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:31.525Z,ETHUSDT,3396.52,0.314443,buy,ETHUSDT-1000007,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:07.544Z,ETHUSDT,3395.31,0.400296,sell,ETHUSDT-1000008,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:49.864Z,ETHUSDT,3396.09,0.481471,buy,ETHUSDT-1000009,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:52.787Z,ETHUSDT,3394.76,0.196686,sell,ETHUSDT-1000010,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:00.284Z,ETHUSDT,3396.13,0.481663,sell,ETHUSDT-1000011,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
2026-06-27T10:00:01.173Z,ETHUSDT,3396.62,0.175401,sell,ETHUSDT-1000012,2026-06-27T10:05:00.000Z,/Volumes/mktpulse/bronze/raw/trades_2026-06-27T1000.json
